Name,Location,Rating
Quán Ăn Maika - Bún Thái & Cơm Trộn - Nguyễn Trãi,"528 Nguyễn Trãi, P. 8, Quận 5, TP. HCM",3.4
O Tú - Bún Bò Huế - Đường Số 1,"143 Đường Số 1, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",3.1
Kem Swensen's - Nguyễn Thái Học,"73 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",3.6
Phong Châu Quán - Bánh ngọt & Trà Sữa,"11 Lê Lợi, P. Hiệp Phú, Tp. Thủ Đức, TP. HCM",4.0
Cơm Sườn Mê Kông,"136 Sương Nguyệt Ánh, Quận 1, TP. HCM",2.8
Bún Cá Hạnh Béo,"88 Phan Xích Long, P. 3, Quận Bình Thạnh, TP. HCM",3.3
Quán Ốc Sáu Loan,"436A/50 Đường 3 Tháng 2, P. 12, Quận 10, TP. HCM",3.7
Bún Riêu Cây Mận - Hòa Hảo,"350 Hoà Hảo, P. 5, Quận 10, TP. HCM",3.2
Minh Đức - Các Món Cơm Việt - 35 Tôn Thất Tùng,"35 Tôn Thất Tùng, P. Phạm Ngũ Lão, Quận 1, TP. HCM",3.2
Cơm Bình Dân Hoàng Yến - Nguyễn Hữu Thọ,"338 Nguyễn Hữu Thọ, P. Tân Phong, Quận 7, TP. HCM",5.0
Mì Ốc Hến Dì Lan - Nguyễn Công Trứ,"53 Nguyễn Công Trứ, P. 19, Quận Bình Thạnh, TP. HCM",2.9
Cơm Gà Singapore 99 - Chicken Rice - Trần Huy Liệu,"140/9 Trần Huy Liệu, Quận Phú Nhuận, TP. HCM",3.5
TocoToco Bubble Tea - 75 Lê Trọng Tấn,"75 Lê Trọng Tấn, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",2.9
Trà sữa ToCoToCo - 379 Lê Trọng Tấn,"379 Lê Trọng Tấn, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",3.2
Thành Ký Mì Gia - Nguyễn Thị Định,"14B Nguyễn Thị Định, P. An Phú, Quận 2, TP. HCM",3.0
An Hòa - Bún Bò Huế - Nguyễn Hữu Cảnh,"SH 06, Landmark 6, Vinhomes Central Park, 208 Nguyễn Hữu Cảnh, P. 22, Quận Bình Thạnh, TP. HCM",3.8
Hoàng Mập - Đặc Sản Thịt Thỏ,"549/43 Lê Văn Thọ, P. 14, Quận Gò Vấp, TP. HCM",3.1
Thành Đạt - Hủ Tíu Nam Vang - Cô Bắc,"34 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",3.2
Seol Hwa - Bingsu Sữa Bào Tuyết Hoa - Sky Graden,"28/1 Phạm Văn Nghị, Khu Phố Sky Garden 1, P. Tân Phong, Quận 7, TP. HCM",4.0
"Đại Dương - Bánh Mì Heo Quay, Bánh Hỏi Heo Quay & Xôi Mặn","4D Tân Sơn Nhì, P. Tân Sơn Nhì, Quận Tân Phú, TP. HCM",3.2
"Highlands Coffee - Trà, Cà Phê & Bánh - Joy Citipoint","Joy Citipoint, 18/7 Quốc Lộ 1A, P. Linh Trung, Tp. Thủ Đức, TP. HCM",4.0
Pizza Hut - Phạm Văn Chiêu,"82 Phạm Văn Chiêu, Quận Gò Vấp, TP. HCM",3.5
Quyên - Bún Nước Tôm Bò,"68 Trần Kế Xương, P. 3, Quận Bình Thạnh, TP. HCM",3.1
Sushi 79 - Nguyễn Tri Phương,"489 Nguyễn Tri Phương, P. 8, Quận 10, TP. HCM",3.5
Burger King - Nguyễn Tri Phương,"539 Nguyễn Tri Phương, P. 8, Quận 10, TP. HCM",2.4
Quỳnh Hoa - Bánh Plan Rau Câu,"117 Lô G Khu Tái Thiết Hoàng Diệu, P. 9, Quận 4, TP. HCM",3.4
Bánh Cuốn Tây Hồ - Đinh Tiên Hoàng,"127 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",3.0
Hủ Tiếu Xào - Thái Phiên,"100/1 Thái Phiên, Quận 11, TP. HCM",3.6
Lẩu Cá Kèo Bà Huyện - 87 Bà Huyện Thanh Quan,"87 Bà Huyện Thanh Quan, P. 7, Quận 3, TP. HCM",3.3
Chi Bằng - Các Món Gà,"55/18 Trường Sơn, Quận Tân Bình, TP. HCM",1.6
Bánh Xèo Chị Tám,"33 Mã Lò, P. Bình Trị Đông A, Quận Bình Tân, TP. HCM",3.5
Sushi Hokkaido Sachi 北海道サチ - Nguyễn Trãi,"139A - B Nguyễn Trãi, P. Bến Thành, Quận 1, TP. HCM",4.0
Chè Bưởi - Bùi Thị Xuân,"20 Bùi Thị Xuân, P. 2, Quận Tân Bình, TP. HCM",3.8
Cơm Gà Thiên Thiên - Chi Nhánh 2,"65 Đường Số 1, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",3.0
Mì Quảng Thu Bồn - Nguyễn Trọng Tuyển,"182/1 Nguyễn Trọng Tuyển, P. 8, Quận Phú Nhuận, TP. HCM",3.4
Quán Long Ký - Cơm Gà Hải Nam,"126 Đường Số 1, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",3.2
The Pizza Company - Lê Văn Quới,"239 Lê Văn Quới, P. Bình Trị Đông, Quận Bình Tân, TP. HCM",3.6
Quán Cơm Lan Anh,"93 Bắc Hải, Quận 10, TP. HCM",2.6
Beefsteak 100gram - Nguyễn Gia Thiều,"2/108 Nguyễn Gia Thiều, P. 6, Quận 3, TP. HCM",3.4
Mai - Hủ Tiếu & Bánh Canh,"T2A Nguyễn Hữu Hào, P. 6, Quận 4, TP. HCM",4.2
Bún Đậu Mắm Tôm A Chảnh - Tân Vĩnh,"60 Tân Vĩnh, P. 6, Quận 4, TP. HCM",2.8
Hương Sen - Bún Đậu Mắm Tôm - Lê Văn Lương,"409 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",3.4
Con Gà Trống Garden 1 - Cô Bắc,"46 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",3.5
KATINAT - Tân Sơn Nhì,"195 Tân Sơn Nhì, P. Tân Sơn Nhì, Quận Tân Phú, TP. HCM",2.9
Cơm Gà Hồng Phát - Tân Bình,"475 - 477 Hoàng Văn Thụ, P. 4, Quận Tân Bình, TP. HCM",2.7
Mì Quảng Hải Âu,"001 Lô G, Chung Cư Bàu Cát 2, Ni Sư Huỳnh Liên, Quận Tân Bình, TP. HCM",3.2
Đặc Sản Miền Trung,"309 Tên Lửa, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",3.2
Quán Cơm Thanh Ngân - Cơm Nhà - Phổ Quang,"95/1 Phổ Quang, P. 2, Quận Tân Bình, TP. HCM",3.1
Buddha Bar & Grill,"7 Thảo Điền, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",1.5
Ba Nga Mì Quảng,"457 Lê Quang Định, P. 1, Quận Gò Vấp, TP. HCM",4.0
Xôi Gà Út Mập - Number One - Phan Bội Châu,"22 Phan Bội Châu, P. Bến Thành, Quận 1, TP. HCM",3.0
Xôi Ngọt - Cao Thắng,"Ngã 4 Cao Thắng - Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",3.8
Trái Cây Tô - 229 Tô Hiến Thành,"229 Tô Hiến Thành, Quận 10, TP. HCM",3.1
Quán Tú - Nhậu Bình Dân,"2 Bis Lương Hữu Khánh, Quận 1, TP. HCM",3.5
Hoàng Ký Đài Loan - Cơm Gà Xối Mỡ - Vạn Kiếp,"64 Vạn Kiếp, P. 3, Quận Bình Thạnh, TP. HCM",3.1
"Phá Lấu 55 - Phá Lấu , Há Cảo Chiên & Cút Lộn Xào Me - Vạn Kiếp","55/2 Vạn Kiếp, P. 3, Quận Bình Thạnh, TP. HCM",4.8
Bò Hàu Sốt - Vạn Kiếp,"35 Vạn Kiếp, P. 3, Quận Bình Thạnh, TP. HCM",3.9
Hủ Tíu Mì - Vạn Kiếp,"80/2D Vạn Kiếp, P.3, Quận Bình Thạnh, TP. HCM",3.7
Phá Lấu Bò & Bò Kho Mr Beo - Vạn Kiếp,"54 Vạn Kiếp, P. 3, Quận Bình Thạnh, TP. HCM",4.8
Lò Bánh Mì Thúy Tiền - 40 Vạn Kiếp,"40 Vạn Kiếp, P.3, Quận Bình Thạnh, TP. HCM",3.9
Bún Bò Huế 18 - Cao Bá Nhạ,"18 Cao Bá Nhạ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",3.6
Cơm 42,"42 Cô Bắc, Quận 1, TP. HCM",3.5
Bột Chiên Cầu Kênh Tẻ,"469/36 Đoàn Văn Bơ, P. 13, Quận 4, TP. HCM",4.2
Bột Chiên Đạt Thành,"277 Võ Văn Tần, P. 5, Quận 3, TP. HCM",3.4
