Name,Location,Rating,Local Image Path,Original Image URL,Latitude,Longitude
Chè Thái Út Lyly,"384 Nguyễn Trọng Tuyển, P. 2, Quận Tân Bình, TP. HCM",4.4,foody_images\36_Chè Thái Út Lyly.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9d4by9mb4pbb@resize_ss640x400,10.7977127,106.6743401
Ái Vy - Sinh Tố & Nước Ép,"37 Công Chúa Ngọc Hân, P. 13, Quận 11, TP. HCM",4.3,foody_images\37_Ái Vy - Sinh Tố & Nước Ép.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu2n52xmc9l61@resize_ss640x400,10.7635693,106.6551801
"Highlands Coffee - Trà, Cà Phê & Bánh - No 7 Bình Tân FC","142 - 144 Đường Số 7, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",3.5,"foody_images\38_Highlands Coffee - Trà, Cà Phê & Bánh - No 7 Bình.jpg",https://down-vn.img.susercontent.com/vn-11134513-820l4-mh2pe23bsufc72@resize_ss640x400,10.7065341,106.6438136
Bánh Cuốn Hoa Kiều 2 - Nguyễn Tiểu La,"116B Nguyễn Tiểu La, P. 5, Quận 10, TP. HCM",3.4,foody_images\39_Bánh Cuốn Hoa Kiều 2 - Nguyễn Tiểu La.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstyur3ms69w04@resize_ss640x400,10.7640461,106.6662442
Hồ Lô Coffee,"9 Chung Cư B1 Bông Sao, P. 5, Quận 8, TP. HCM",4.7,foody_images\40_Hồ Lô Coffee.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwi4bnx5kf6h5c@resize_ss640x400,,
"Nhất Phương - Bánh Canh Cua, Bún Mắm & Bún Bò","338 Phan Huy Ích, P. 12, Quận Gò Vấp, TP. HCM",2.1,"foody_images\41_Nhất Phương - Bánh Canh Cua, Bún Mắm & Bún Bò.jpg",https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu3bpw4t1g925@resize_ss640x400,10.837183,106.6362137
Acai Bliss- Healthy Smoothie Bowls,"53 Bis Trần Quốc Thảo, P. Võ Thị Sáu, Quận 3, TP. HCM",5.0,foody_images\42_Acai Bliss- Healthy Smoothie Bowls.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvdf5gt693tce@resize_ss640x400,10.7801875,106.6895914
KATINAT - Hàm Nghi,"120 Hàm Nghi, P. Bến Nghé, Quận 1, TP. HCM",2.9,foody_images\43_KATINAT - Hàm Nghi.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mh1kwvkytcspf9@resize_ss640x400,10.7708647,106.7001891
Phở Hàng Đậu - Phở Hà Nội - 11 Trần Văn Sắc,"11 Trần Văn Sắc, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",0.8,foody_images\44_Phở Hàng Đậu - Phở Hà Nội - 11 Trần Văn Sắc.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvgwm5dk0ihd7@resize_ss640x400,10.807006,106.7291535
Gà Tần Gia Bảo - 132 Cô Bắc,"132 Cô Bắc, P. Cô Giang, Quận 1, TP. HCM",5.0,foody_images\45_Gà Tần Gia Bảo - 132 Cô Bắc.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ra0g-m7ui0hwwiqv7fd@resize_ss640x400,10.7958541,106.6823834
"Highlands Coffee - Trà, Cà Phê & Bánh - Sunrise City View D7","B1.19 Sunrise City View, Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",3.2,"foody_images\46_Highlands Coffee - Trà, Cà Phê & Bánh - Sunrise Ci.jpg",https://down-vn.img.susercontent.com/vn-11134513-820l4-mh2pdcklz4stea@resize_ss640x400,,
Phúc Long Nowzone,"Tầng Trệt - Nowzone, 235 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",3.5,foody_images\47_Phúc Long Nowzone.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgu7310ynlse1d@resize_ss640x400,,
Thanh Thúy - Ẩm Thực Miền Trung,"679 Quang Trung, P.11, Quận Gò Vấp, TP. HCM",3.4,foody_images\48_Thanh Thúy - Ẩm Thực Miền Trung.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsts3wru4c78e6@resize_ss640x400,10.9803712,106.6522012
Bún Cá Châu Đốc Thanh Thủy,"25 Đường Số 15, P. Bình Hưng Hòa, Quận Bình Tân, TP. HCM",4.6,foody_images\49_Bún Cá Châu Đốc Thanh Thủy.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv2h9hnuo5g96@resize_ss640x400,10.7236524,106.7266335
Ốc Béo Hà Nội,"10 Bàn Cờ, P. 3, Quận 3, TP. HCM",3.5,foody_images\50_Ốc Béo Hà Nội.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu9wi8ogdl0cc@resize_ss640x400,10.7708126,106.6791919
Gà Rán KFC - Đường Thích Quảng Đức,"87 Thích Quảng Đức, P. 4, Quận Phú Nhuận, TP. HCM",1.8,foody_images\51_Gà Rán KFC - Đường Thích Quảng Đức.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhwt2b9w7a373@resize_ss640x400,10.8048164,106.6829517
Hua Wu Lou - Dimsum Street - Bùi Thị Xuân,"83B Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",3.1,foody_images\52_Hua Wu Lou - Dimsum Street - Bùi Thị Xuân.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv167sadti179@resize_ss640x400,10.7922432,106.6654372
Hua Wu Lou - Dimsum Street - Bàn Cờ,"27C Bàn Cờ, P. 3, Quận 3, TP. HCM",3.0,foody_images\53_Hua Wu Lou - Dimsum Street - Bàn Cờ.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu5svbo6x1gce@resize_ss640x400,10.7708126,106.6791919
BEN Cháo Lòng & Lòng Nhậu - Cháo - 352 Cách Mạng Tháng 8,"352 Cách Mạng Tháng 8, P. 9, Quận 3, TP. HCM",4.3,foody_images\54_BEN Cháo Lòng & Lòng Nhậu - Cháo - 352 Cách Mạng T.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lxe2x24gi9qzaa@resize_ss640x400,10.7748633,106.6871884
Lu Hotdog - Hotdog & Hamburger - Phan Đăng Lưu,"107 Phan Đăng Lưu, P. 7, Quận Phú Nhuận, TP. HCM",4.0,foody_images\55_Lu Hotdog - Hotdog & Hamburger - Phan Đăng Lưu.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu770eeojwkbf@resize_ss640x400,10.8013248,106.6824679
Gà Rán KFC - Nguyễn Thị Tú,"D6/22 Nguyễn Thị Tú, Huyện Bình Chánh, TP. HCM",3.4,foody_images\56_Gà Rán KFC - Nguyễn Thị Tú.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu994ho95ms52@resize_ss640x400,,
Vịt Quay Huỳnh Ký - Cầu Bông,"2 Bis Trần Quang Khải, Quận 1, TP. HCM",2.8,foody_images\57_Vịt Quay Huỳnh Ký - Cầu Bông.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstro7skwdl0eb@resize_ss640x400,10.9047757,106.7759242
Bánh Mì Cụ Lý - Bánh Mì Chả Bò Thì Là Chả Quế,"189 Hai Bà Trưng, P. 6, Quận 3, TP. HCM",3.7,foody_images\58_Bánh Mì Cụ Lý - Bánh Mì Chả Bò Thì Là Chả Quế.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstsp4bor72x86@resize_ss640x400,10.9762126,106.6520564
Đắc Hòa II - Heo Quay & Vịt Quay - Âu Cơ,"102 - 104 Âu Cơ, P. 9, Quận Tân Bình, TP. HCM",3.2,foody_images\59_Đắc Hòa II - Heo Quay & Vịt Quay - Âu Cơ.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstqfjqy2uh01c@resize_ss640x400,10.7987219,106.6374728
P'Meen - Gỏi & Lẩu Thái,"151 Bình Thới, P. 11, Quận 11, TP. HCM",3.0,foody_images\60_P'Meen - Gỏi & Lẩu Thái.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv0xd66mxeh82@resize_ss640x400,10.7648164,106.6457046
